City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mataura,-46.1927,168.8643,4.34,95,100,2.25,NZ,1679939181
1,punta arenas,-53.15,-70.9167,4.06,87,100,6.17,CL,1679938970
2,nabire,-3.3667,135.4833,23.64,92,94,1.47,ID,1679939181
3,nanjing,32.0617,118.7778,6.95,67,33,1.68,CN,1679939182
4,taraz,42.9,71.3667,7.23,70,33,4.0,KZ,1679939182
5,new norfolk,-42.7826,147.0587,12.72,79,100,1.28,AU,1679939183
6,ushuaia,-54.8,-68.3,3.79,93,100,2.57,AR,1679938919
7,san felipe,10.3399,-68.7425,30.49,46,77,3.46,VE,1679939184
8,tuktoyaktuk,69.4541,-133.0374,-2.0,80,75,12.35,CA,1679939183
9,goderich,43.7501,-81.7165,4.95,87,100,3.09,CA,1679939158
10,puerto leguizamo,-0.1934,-74.7819,27.74,79,93,0.93,CO,1679939185
11,badiraguato,25.3667,-107.5167,31.49,12,41,2.21,MX,1679939038
12,dakoro,14.5106,6.765,32.54,10,77,3.57,NE,1679939185
13,maningrida,-12.0667,134.2667,24.18,87,60,3.65,AU,1679939186
14,kostomuksha,64.571,30.5767,-11.75,97,63,2.71,RU,1679939186
15,naze,28.3667,129.4833,16.51,64,100,4.16,JP,1679939187
16,hobart,-42.8794,147.3294,12.92,94,100,3.09,AU,1679939148
17,dikson,73.5069,80.5464,-31.06,100,83,2.26,RU,1679939188
18,asau,46.4333,26.4,9.6,88,100,0.89,RO,1679939188
19,porto velho,-8.7619,-63.9039,30.03,62,75,1.54,BR,1679939116
20,odweyne,9.4092,45.064,27.51,44,68,5.3,SO,1679939189
21,sur,22.5667,59.5289,27.01,57,61,4.65,OM,1679939189
22,matara,5.9485,80.5353,25.28,89,19,1.35,LK,1679939190
23,busselton,-33.65,115.3333,12.83,84,0,4.69,AU,1679939190
24,kaitangata,-46.2817,169.8464,5.54,92,100,5.17,NZ,1679939191
25,prince rupert,54.3161,-130.3201,5.83,70,0,1.03,CA,1679939141
26,bredasdorp,-34.5322,20.0403,17.32,69,54,3.15,ZA,1679939191
27,pandan,14.0453,124.1694,25.57,85,16,3.67,PH,1679939191
28,atuona,-9.8,-139.0333,26.88,79,97,6.82,PF,1679939192
29,hermanus,-34.4187,19.2345,17.67,60,35,2.95,ZA,1679939192
30,longyearbyen,78.2186,15.6401,-10.09,62,20,5.66,SJ,1679938893
31,viesite,56.3475,25.5551,-0.52,78,92,2.72,LV,1679939193
32,katsuura,35.1333,140.3,12.28,76,100,7.67,JP,1679939194
33,upernavik,72.7868,-56.1549,-23.71,84,18,4.33,GL,1679939194
34,katherine,-14.4667,132.2667,22.18,78,64,1.54,AU,1679939194
35,gallipoli,40.4103,26.6708,17.92,32,1,9.05,TR,1679939195
36,dalbandin,28.8947,64.4101,22.41,24,66,6.98,PK,1679939195
37,padang,-0.9492,100.3543,25.72,89,67,1.68,ID,1679939179
38,ponta do sol,32.6667,-17.1,25.95,58,18,1.31,PT,1679939196
39,yellowknife,62.456,-114.3525,-18.58,65,0,2.06,CA,1679938984
40,luderitz,-26.6481,15.1594,17.45,88,6,0.47,NA,1679939196
